,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Empowerment,BTI - Democracy Status,Trust in society,Ethnic Fractionalisation,size of excluded ethnic groups,Ethnic fractionalisation,Gender Inequality,Income Gini coefficient,Inequality,Social cohesion,Conflict Intensity,Total killed in all crisis,Safety and security,Corruption Perception,Rule of Law (WGI),Rule of Law (BTI),Freedom in the World,Rule of Law,Society and safety,# of different types of affected population groups,Diversity of groups affected,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Access of Humanitarian Actors to Affected Populations,Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Access of People in need to Aid,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Physical and Security Constraints,Humanitarian access,Operating environment
Food Security Crisis in Namibia,Drought,NAM002,Namibia,NAM,1.1,1.3,1.2000000000000002,3.6,1.6,2.6,3.1,4.3,3.7,2.5,0,0,0,2.4,2.2,1.6,1.2,1.9,1.5,1,1,1,1,0,0,2,0,0,0,0,0,3,3,2,1.5
Multiple crises in Niger,"Conflict,Displacement",NER001,Niger,NER,2.1,2,2.05,3.1,0.9,2,4.3,1.2,2.75,2.2666666666666666,3,3.8,3.4,3.4,3,2.3,2.6,2.8,2.8,5,5,1,3,1,0,2,0,2,2,2,1,3,4,3,4
Lake Chad basin crisis in Niger,Conflict,NER002,Niger,NER,2.1,2,2.05,3.1,0.9,2,4.3,1.2,2.75,2.2666666666666666,3,3.8,3.4,3.4,3,2.3,2.6,2.8,2.8,4,4,1,3,1,0,2,0,2,2,2,1,3,4,3,3.5
Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,2.1,2,2.05,3.1,0.9,2,4.3,1.2,2.75,2.2666666666666666,3,3.8,3.4,3.4,3,2.3,2.6,2.8,2.8,4,4,1,3,1,0,2,0,2,2,2,1,3,4,3,3.5
Nigerian Refugees,Displacement,NER004,Niger,NER,2.1,2,2.05,3.1,0.9,2,4.3,1.2,2.75,2.2666666666666666,3,3.8,3.4,3.4,3,2.3,2.6,2.8,2.8,2,2,1,2,1,0,2,0,1,1,1,1,3,4,2,2
Complex crisis in Nigeria,"Conflict,Displacement,Violence",NGA001,Nigeria,NGA,3.9,2.3,3.0999999999999996,4.1,0.3,2.1999999999999997,x,1.3,1.3,2.1999999999999997,5,5,5,3.7,3.4,2.4,2.7,3.1,3.4,5,5,1,3,3,2,4,2,3,5,3,1,3,5,5,5
Middle belt conflict,Violence,NGA003,Nigeria,NGA,3.9,2.3,3.0999999999999996,4.1,0.3,2.1999999999999997,x,1.3,1.3,2.1999999999999997,5,5,5,3.7,3.4,2.4,2.7,3.1,3.4,5,5,1,2,0,2,2,0,0,0,2,1,2,4,2,3.5
Lake Chad basin crisis in Nigeria,"Conflict,Displacement",NGA004,Nigeria,NGA,3.9,2.3,3.0999999999999996,4.1,0.3,2.1999999999999997,x,1.3,1.3,2.1999999999999997,5,5,5,3.7,3.4,2.4,2.7,3.1,3.4,4,4,1,3,2,2,4,2,3,5,3,1,3,5,5,4.5
Northwest Banditry,"Violence,Displacement",NGA007,Nigeria,NGA,3.9,2.3,3.0999999999999996,4.1,0.3,2.1999999999999997,x,1.3,1.3,2.1999999999999997,5,5,5,3.7,3.4,2.4,2.7,3.1,3.4,5,5,1,2,0,2,2,0,2,2,2,1,2,4,3,4
Cameroonian Refugees in Nigeria,Displacement,NGA008,Nigeria,NGA,3.9,2.3,3.0999999999999996,4.1,0.3,2.1999999999999997,x,1.3,1.3,2.1999999999999997,5,5,5,3.7,3.4,2.4,2.7,3.1,3.4,5,5,1,3,0,2,3,0,0,0,0,1,2,3,2,3.5
Socioeconomic crisis in Nicaragua,Socio-political,NIC001,Nicaragua,NIC,2.9,3,2.95,1.3,1.4,1.35,3,2.7,2.85,2.3833333333333333,3,1.4,2.2,3.9,3.7,3.8,3.5,3.7,2.8,x,x,2,0,3,0,2,3,1,4,1,0,1,2,3,3
Complex crisis in Pakistan,"Displacement,Conflict",PAK001,Pakistan,PAK,3.9,3.1,3.5,3.2,1.6,2.4000000000000004,3.6,0.8,2.2,2.7000000000000006,3,4.4,3.7,3.4,3.2,3.4,3.1,3.3,3.2,5,5,2,1,2,0,2,2,2,4,1,1,3,4,3,4
Kashmir conflict in Pakistan,Conflict,PAK004,Pakistan,PAK,3.9,3.1,3.5,3.2,1.6,2.4000000000000004,3.6,0.8,2.2,2.7000000000000006,3,4.4,3.7,3.4,3.2,3.4,3.1,3.3,3.2,3,3,2,1,2,0,2,2,2,4,1,1,3,4,3,3
Floods in Pakistan ,Other seasonal event,PAK005,Pakistan,PAK,3.9,3.1,3.5,3.2,1.6,2.4000000000000004,3.6,0.8,2.2,2.7000000000000006,3,4.4,3.7,3.4,3.2,3.4,3.1,3.3,3.2,1,1,2,1,2,0,2,2,1,3,1,1,3,4,3,2
Venezuela displacement in Panama,Displacement,PAN002,Panama,PAN,0.7,1.5,1.1,1.7,1.3,1.5,3.1,3.1,3.1,1.9000000000000001,0,0,0,3.2,2.6,2,0.8,2.2,1.4,2,2,0,1,0,0,1,0,2,2,1,0,1,2,2,2
Venezuela displacement in Peru,Displacement,PER002,Peru,PER,1.8,1.7,1.75,3,4.5,3.75,2.5,2.1,2.3,2.6,3,0,1.5,3.2,3,1.9,1.4,2.4,2.2,3,3,0,0,0,1,1,2,2,4,1,1,3,4,3,3
Multiple crises in the Philippines,"Conflict,Cyclone,Violence,Floods,Other seasonal event",PHL001,Philippines,PHL,1.8,2.1,1.9500000000000002,1.3,1.4,1.35,2.8,2.2,2.5,1.9333333333333336,4,3.4,3.7,3.3,3,2.6,2.1,2.8,2.8,4,4,0,1,0,0,1,0,0,0,0,1,3,3,1,2.5
Mindanao conflict,"Conflict,Violence",PHL003,Philippines,PHL,1.8,2.1,1.9500000000000002,1.3,1.4,1.35,2.8,2.2,2.5,1.9333333333333336,4,3.4,3.7,3.3,3,2.6,2.1,2.8,2.8,4,4,0,1,0,0,1,0,0,0,0,1,1,2,1,2.5
Typhoon Nalgae,Cyclone,PHL012,Philippines,PHL,1.8,2.1,1.9500000000000002,1.3,1.4,1.35,2.8,2.2,2.5,1.9333333333333336,4,3.4,3.7,3.3,3,2.6,2.1,2.8,2.8,4,4,0,0,0,0,0,0,0,0,0,1,0,1,0,2
Southwest Monsoon and Typhoon Doksuri,"Floods,Cyclone",PHL014,Philippines,PHL,1.8,2.1,1.9500000000000002,1.3,1.4,1.35,2.8,2.2,2.5,1.9333333333333336,4,3.4,3.7,3.3,3,2.6,2.1,2.8,2.8,4,4,0,0,0,0,0,0,0,0,0,1,1,2,1,2.5
Highlands Violence,Earthquake,PNG003,Papua New Guinea,PNG,1.1,2,1.55,0.3,0,0.15,4.9,2.1,3.5,1.7333333333333334,3,3.1,3.05,3.6,3.3,2.1,1.9,2.7,2.5,4,4,0,1,0,0,1,0,0,0,1,0,3,3,1,2.5
Displacement from Ukraine conflict in Poland,"Displacement,Conflict",POL002,Poland,POL,0.7,1,0.85,0.4,0.1,0.25,0.8,0.7,0.75,0.6166666666666667,0,0,0,2.1,2,1.6,0.8,1.6,0.7,2,2,0,0,0,0,0,2,1,3,0,0,0,0,1,1.5
Complex crisis in DPRK,"Socio-political,Floods,Other seasonal event,Food Security",PRK001,DPRK,PRK,5,3.7,4.35,0,0,0,x,x,x,2.175,1,1.2,1.1,4.2,4.2,4.4,4.9,4.4,2.6,1,1,1,2,2,0,2,3,3,5,0,0,3,3,3,2
Conflict in Palestine,"Conflict,Socio-political,Violence",PSE002,Palestine,PSE,x,x,x,0,0,0,x,1.1,1.1,0.55,2,3.2,2.6,x,3,x,4.5,3.8,2.3,4,4,1,3,2,1,3,2,3,5,3,2,3,5,4,4
Lake Chad basin regional crisis,0,REG001,"Nigeria,Niger,Chad,Cameroon","NGA,NER,TCD,CMR",2.8,2.7,2.75,4,0.8,2.4,4.3,1.9,3.0999999999999996,2.75,4.5,4.6,4.55,3.7,3.5,3,3.4,3.4,3.6,5,5,1,3,2,2,4,2,3,5,3,3,3,5,5,5
Venezuela Regional Crisis,0,REG002,"Venezuela,Brazil,Colombia,Ecuador,Peru,Trinidad and Tobago,Chile,Dominican Republic,Panama","VEN,BRA,COL,ECU,PER,TTO,CHL,DOM,PAN",1.4,1.5,1.45,1.9,2,1.95,2.6,2.6,2.6,2,2.3333333333333335,5,3.666666666666667,3.2,2.9,1.9,1.6,2.4,2.7,5,5,0,2,2,3,3,2,2,4,1,3,3,5,4,4.5
Regional Kashmir conflict,0,REG003,"India,Pakistan","IND,PAK",3.2,2.3,2.75,3.8,0.8,2.3,3.5,1.1,2.3,2.4499999999999997,3,4.4,3.7,3.2,2.8,2.4,2.3,2.7,3,3,3,2,1,2,0,2,2,2,4,2,1,3,4,3,3
Syrian Regional Crisis,0,REG004,"Syria,Türkiye,Iraq,Egypt,Jordan,Lebanon","SYR,TUR,IRQ,EGY,JOR,LBN",3.8,3,3.4,2.5,3.3,2.9,3,1.2,2.1,2.8000000000000003,3.8333333333333335,5,4.416666666666667,3.5,3.4,3.3,3.6,3.5,3.6,5,5,1,2,1,0,2,2,3,5,0,2,3,4,4,4.5
Eastern Mediterranean Route ,0,REG006,"Türkiye,Greece","TUR,GRC",2.1,2.5,2.3,1.2,1.8,1.5,1.4,1.6,1.5,1.7666666666666666,3.5,3.2,3.35,2.8,2.5,3.3,2,2.7,2.6,2,2,1,0,1,0,2,2,1,3,0,1,0,1,2,2
Central Mediterranean Route,0,REG007,"Algeria,Tunisia,Libya,Italy","DZA,TUN,LBY,ITA",2.9,2.7,2.8,1.1,0.7,0.9,1.6,0.9,1.25,1.6499999999999997,2.25,4.7,3.475,3.1,3.1,2.9,2.5,2.9,2.7,4,4,1,2,2,0,2,0,3,3,0,1,0,1,2,3
Western Mediterranean Route,0,REG008,"Algeria,Morocco,Spain","DZA,MAR,ESP",2.7,2.9,2.8,2.3,3.2,2.75,2.2,1.1,1.6500000000000001,2.4,2.3333333333333335,3.4,2.8666666666666667,2.7,2.5,3.1,2.3,2.7,2.7,4,4,0,0,0,0,0,0,0,0,0,1,0,1,0,2
Rohingya Regional Crisis,0,REG011,"Bangladesh,Myanmar","BGD,MMR",3.8,3.1,3.45,1.8,2.1,1.9500000000000002,3.3,0.8,2.05,2.4833333333333334,4,5,4.5,3.6,3.3,3.4,3.3,3.4,3.5,4,4,2,3,2,0,3,3,3,5,0,1,3,3,4,4
Southern Africa Regional Food Security Crisis,0,REG012,"Lesotho,Madagascar,Malawi,Namibia,Eswatini,Zambia,Zimbabwe,Tanzania","LSO,MDG,MWI,NAM,SWZ,ZMB,ZWE,TZA",2.4,2.2,2.3,2.2,0.2,1.2000000000000002,3.6,3,3.3,2.2666666666666666,0.875,2.5,1.6875,3.3,3,2.7,2.5,2.9,2.3,5,5,2,1,1,0,2,0,1,1,0,1,3,3,2,3.5
Nagorno-Karabakh Conflict,0,REG013,"Armenia,Azerbaijan","ARM,AZE",3.2,2.4,2.8,0.5,0.4,0.45,1.9,0.4,1.15,1.4666666666666668,3,1.8,2.4,3.2,2.9,2.8,3.4,3.1,2.3,2,2,2,2,2,0,3,2,2,4,2,2,1,4,4,3
Eastern Africa Regional Drought Crisis,Drought,REG014,"Ethiopia,Somalia,Kenya","ETH,SOM,KEN",3.8,3.3,3.55,2.7,1.2,1.9500000000000002,3.5,1.6,2.55,2.6833333333333336,5,5,5,3.8,3.6,3.4,3.7,3.6,3.8,5,5,2,3,2,2,4,2,3,5,3,3,3,5,5,5
Turkiye / Syria earthquake,Earthquake,REG015,"Türkiye,Syria","TUR,SYR",3.6,3.3,3.45,2.4,5,3.7,2.8,1.8,2.3,3.15,4.5,5,4.75,3.7,3.7,3.8,4.2,3.9,3.9,5,5,2,3,3,0,4,2,3,5,3,3,3,5,5,5
Displacement from Ukraine conflict in Romania,"Conflict,Displacement",ROU002,Romania,ROU,2.1,1.2,1.65,1.5,0.3,0.9,2.1,1.4,1.75,1.4333333333333333,1,0,0.5,2.8,2.1,1.6,0.9,1.9,1.3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Displacement from Ukraine conflict in Russia,"Conflict,Displacement",RUS002,Russia,RUS,4.3,2.8,3.55,1.7,1.6,1.65,1.7,1.6,1.65,2.283333333333333,3,3,3,3.6,3.2,3,4,3.5,2.9,2,2,1,0,1,0,2,2,2,4,0,0,0,0,2,2
Burundi and DRC refugees in Rwanda,Displacement,RWA002,Rwanda,RWA,3.2,3,3.1,1.4,5,3.2,2.7,2.3,2.5,2.9333333333333336,3,x,3,2.4,2.4,3.1,3.9,3,3,2,2,1,0,1,0,2,0,0,0,0,0,2,2,1,1.5
Complex crisis in Sudan,"Displacement,Violence,Floods",SDN001,Sudan,SDN,3.6,4,3.8,4,5,4.5,3.7,1.2,2.45,3.5833333333333335,5,5,5,4.2,3.6,4.5,4.4,4.2,4.3,5,5,2,3,3,3,5,2,2,4,3,1,3,5,5,5
Refugees in Sudan,Displacement,SDN005,Sudan,SDN,3.6,4,3.8,4,5,4.5,3.7,1.2,2.45,3.5833333333333335,5,5,5,4.2,3.6,4.5,4.4,4.2,4.3,2,2,2,3,3,0,4,1,2,3,3,1,3,5,4,3
Violence in Darfur and Kordofan regions,Violence,SDN008,Sudan,SDN,3.6,4,3.8,4,5,4.5,3.7,1.2,2.45,3.5833333333333335,5,5,5,4.2,3.6,4.5,4.4,4.2,4.3,2,2,2,3,3,3,5,2,2,4,3,1,3,5,5,3.5
Drought in Senegal,Drought,SEN002,Senegal,SEN,1.8,1.5,1.65,3.6,0,1.8,3.5,1.9,2.7,2.0500000000000003,3,1.7,2.35,2.8,2.7,2,1.5,2.3,2.2,1,1,0,0,0,0,0,0,0,0,0,1,1,2,1,1
Complex crisis in El Salvador,"Displacement,Violence,Floods,Drought",SLV001,El Salvador,SLV,0.7,1.4,1.0499999999999998,0.9,0,0.45,2.6,1.7,2.15,1.2166666666666666,3,2.7,2.85,3.3,3.3,2,1.7,2.6,2.2,3,3,0,1,1,1,2,2,2,4,1,0,1,2,3,3
Complex crisis in Somalia,"Conflict,Displacement,Floods,Drought",SOM001,Somalia,SOM,x,4.3,4.3,0,0,0,x,1.5,1.5,1.9333333333333333,5,5,5,4.6,4.9,4.5,4.7,4.7,3.9,5,5,2,3,2,0,3,2,2,4,3,2,3,5,4,4.5
Mixed Migration Flows in Somalia,Displacement,SOM002,Somalia,SOM,x,4.3,4.3,0,0,0,x,1.5,1.5,1.9333333333333333,5,5,5,4.6,4.9,4.5,4.7,4.7,3.9,1,1,2,3,2,0,3,2,2,4,3,2,3,5,4,2.5
Complex crisis in South Sudan,"Conflict,Floods,Displacement",SSD001,South Sudan,SSD,1.4,3.7,2.55,3.9,0,1.95,x,2.4,2.4,2.3000000000000003,5,3.9,4.45,4.4,4.5,3.9,5,4.5,3.8,5,5,2,2,2,3,4,2,2,4,3,3,3,5,4,4.5
Displacement from Ukraine conflict in Slovakia,"Displacement,Conflict",SVK002,Slovakia,SVK,1.4,0.7,1.0499999999999998,1.7,1.9,1.7999999999999998,1.3,0,0.65,1.1666666666666665,1,0,0.5,2.5,1.9,1,0.6,1.5,1.1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Food Security Crisis in Eswatini,Drought,SWZ001,Eswatini,SWZ,3.2,3.2,3.2,0,0,0,3.9,3.7,3.8,2.3333333333333335,3,0.9,1.95,3.3,3,3.8,4.1,3.6,2.6,1,1,0,0,0,0,0,0,0,0,0,0,3,3,1,1
Syrian conflict,"Conflict,Displacement,Violence",SYR001,Syria,SYR,4.6,4.1,4.35,2.7,5,3.85,3.6,1.6,2.6,3.5999999999999996,5,4.6,4.8,4.4,4.6,4.3,5,4.6,4.3,5,5,2,3,3,0,4,2,3,5,3,2,3,5,5,5
Türkiye / Syria earthquake in Syria,Earthquake,SYR002,Syria,SYR,4.6,4.1,4.35,2.7,5,3.85,3.6,1.6,2.6,3.5999999999999996,5,4.6,4.8,4.4,4.6,4.3,5,4.6,4.3,5,5,2,3,3,0,4,2,3,5,3,2,3,5,5,5
Complex crisis in Chad,"Conflict,Displacement",TCD001,Chad,TCD,1.8,3.5,2.65,4.6,1.9,3.25,4.7,2.3,3.5,3.1333333333333333,5,2.7,3.85,4,3.8,4.1,4.2,4,3.7,4,4,1,3,1,0,2,0,3,3,3,2,3,5,3,3.5
Lake Chad basin crisis,Conflict,TCD003,Chad,TCD,1.8,3.5,2.65,4.6,1.9,3.25,4.7,2.3,3.5,3.1333333333333333,5,2.7,3.85,4,3.8,4.1,4.2,4,3.7,4,4,1,3,1,0,2,0,3,3,3,2,3,5,3,3.5
CAR refugees in Chad,Displacement,TCD004,Chad,TCD,1.8,3.5,2.65,4.6,1.9,3.25,4.7,2.3,3.5,3.1333333333333333,5,2.7,3.85,4,3.8,4.1,4.2,4,3.7,2,2,1,2,1,0,2,0,2,2,2,2,2,4,3,2.5
Darfur refugees in Chad,Displacement,TCD005,Chad,TCD,1.8,3.5,2.65,4.6,1.9,3.25,4.7,2.3,3.5,3.1333333333333333,5,2.7,3.85,4,3.8,4.1,4.2,4,3.7,2,2,1,2,1,0,2,0,2,2,2,2,2,4,3,2.5
Multiple situations in Thailand,"Conflict,Displacement",THA001,Thailand,THA,2.1,3.4,2.75,1.6,0.5,1.05,2.5,1.2,1.85,1.8833333333333335,3,1.9,2.45,3.2,2.4,3.4,3.4,3.1,2.5,2,2,1,1,1,0,2,0,2,2,0,3,1,3,2,2
Conflict in southern Thailand ,Conflict,THA002,Thailand,THA,2.1,3.4,2.75,1.6,0.5,1.05,2.5,1.2,1.85,1.8833333333333335,3,1.9,2.45,3.2,2.4,3.4,3.4,3.1,2.5,1,1,1,1,0,0,2,0,0,0,0,3,0,3,2,1.5
Myanmar refugees in Thailand,Conflict,THA003,Thailand,THA,2.1,3.4,2.75,1.6,0.5,1.05,2.5,1.2,1.85,1.8833333333333335,3,1.9,2.45,3.2,2.4,3.4,3.4,3.1,2.5,1,1,1,0,1,0,2,0,2,2,0,3,1,3,2,1.5
Venezuelan refugees in Trinidad and Tobago,Displacement,TTO002,Trinidad and Tobago,TTO,0.7,0.8,0.75,3.8,4,3.9,2.2,1.9,2.05,2.2333333333333334,0,0,0,3,2.6,1.4,0.9,2,1.4,3,3,0,0,0,0,0,2,2,4,0,0,2,2,2,2.5
Mixed migration flows in Tunisia,Displacement,TUN002,Tunisia,TUN,2.5,1.7,2.1,0.2,0,0.1,2,1,1.5,1.2333333333333334,3,4.7,3.85,2.9,2.4,2.3,1.5,2.3,2.5,4,4,0,0,2,0,2,0,1,1,0,1,0,1,1,2.5
Complex situation in Türkiye,"Displacement,Conflict",TUR001,Türkiye,TUR,2.5,2.5,2.5,2,3.4,2.7,2,2.1,2.05,2.4166666666666665,4,2.5,3.25,3.1,2.8,3.3,3.4,3.2,3,4,4,1,1,2,0,2,2,2,4,0,1,3,3,3,3.5
Syrian Refugees in Türkiye,Displacement,TUR002,Türkiye,TUR,2.5,2.5,2.5,2,3.4,2.7,2,2.1,2.05,2.4166666666666665,4,2.5,3.25,3.1,2.8,3.3,3.4,3.2,3,2,2,1,0,1,0,2,0,1,1,0,1,3,3,2,2
Mixed Migration Flows in Türkiye,Displacement,TUR003,Türkiye,TUR,2.5,2.5,2.5,2,3.4,2.7,2,2.1,2.05,2.4166666666666665,4,2.5,3.25,3.1,2.8,3.3,3.4,3.2,3,2,2,1,0,0,0,1,2,1,3,0,1,0,1,2,2
Kurdish Conflict,Conflict,TUR004,Türkiye,TUR,2.5,2.5,2.5,2,3.4,2.7,2,2.1,2.05,2.4166666666666665,4,2.5,3.25,3.1,2.8,3.3,3.4,3.2,3,3,3,1,1,1,0,2,0,1,1,0,1,0,1,1,2
Türkiye / Syria earthquake in Türkiye,Earthquake,TUR005,Türkiye,TUR,2.5,2.5,2.5,2,3.4,2.7,2,2.1,2.05,2.4166666666666665,4,2.5,3.25,3.1,2.8,3.3,3.4,3.2,3,3,3,1,1,2,0,2,2,0,2,0,3,3,4,3,3
Multiple Crises in Tanzania,"Displacement,Drought",TZA001,Tanzania,TZA,2.5,2,2.25,2.5,0,1.25,3.6,1.9,2.75,2.0833333333333335,1,1.1,1.05,3.2,3.1,2.5,3,3,2,2,2,2,0,0,0,2,0,1,1,0,0,2,2,2,2
International Displacement in Tanzania,Displacement,TZA002,Tanzania,TZA,2.5,2,2.25,2.5,0,1.25,3.6,1.9,2.75,2.0833333333333335,1,1.1,1.05,3.2,3.1,2.5,3,3,2,2,2,2,0,0,0,2,0,1,1,0,0,2,2,2,2
Food Security Crisis in North-East Tanzania,Drought,TZA003,Tanzania,TZA,2.5,2,2.25,2.5,0,1.25,3.6,1.9,2.75,2.0833333333333335,1,1.1,1.05,3.2,3.1,2.5,3,3,2,2,2,2,0,0,0,2,0,1,1,0,0,2,2,2,2
International Displacement in Uganda,Displacement,UGA005,Uganda,UGA,2.5,2.4,2.45,4.6,2.4,3.5,3.5,2.2,2.85,2.9333333333333336,5,4.9,4.95,3.6,2.8,2.4,3.3,3,3.6,2,2,2,1,1,0,2,0,1,1,0,1,2,3,2,2
Conflict in Ukraine,"Conflict,Displacement",UKR002,Ukraine,UKR,1.4,1.6,1.5,1.6,0.2,0.9,1.9,0.2,1.05,1.1500000000000001,3,4.2,3.6,3.5,3.2,1.9,1.9,2.6,2.5,2,2,2,2,2,3,4,2,3,5,3,3,2,5,5,3.5
Complex crisis in Venezuela,"Socio-political,Violence,Floods",VEN001,Venezuela,VEN,2.5,3.5,3,1.3,1.2,1.25,3.1,2.5,2.8,2.35,4,3.6,3.8,4.2,4.8,4.1,4.2,4.3,3.5,5,5,2,2,2,0,3,1,2,3,1,0,2,3,3,4
Cyclone Judy and cyclone Kevin in Vanuatu,Cyclone,VUT003,Vanuatu,VUT,0.7,x,0.7,0,0,0,x,1.6,1.6,0.7666666666666666,0,x,0,2.7,2.3,x,0.9,2,0.9,1,1,0,0,0,0,0,2,0,2,0,0,3,3,2,1.5
Conflict in Yemen,Conflict,YEM001,Yemen,YEM,4.3,4.3,4.3,3.1,0,1.55,5,1.5,3.25,3.033333333333333,5,4.2,4.6,4.3,4.3,4.4,4.5,4.4,4,4,4,3,3,3,2,5,2,3,5,2,2,3,5,5,4.5
Mixed migration flows in Yemen,Displacement,YEM002,Yemen,YEM,4.3,4.3,4.3,3.1,0,1.55,5,1.5,3.25,3.033333333333333,5,4.2,4.6,4.3,4.3,4.4,4.5,4.4,4,2,2,3,3,3,2,5,2,3,5,2,2,3,5,5,3.5
Drought in Zambia,Drought,ZMB002,Zambia,ZMB,2.1,2.1,2.1,3.5,0,1.75,3.6,4,3.8,2.5500000000000003,0,1.1,0.55,3.3,3,2.9,2.3,2.9,2,3,3,1,1,1,0,2,0,0,0,0,0,3,3,2,2.5
Complex crisis in Zimbabwe,"Socio-political,Drought",ZWE001,Zimbabwe,ZWE,5,2.8,3.9,1.5,0.3,0.9,3.5,3.2,3.35,2.716666666666667,3,1.9,2.45,3.8,3.8,3.4,3.6,3.7,3,4,4,1,0,1,0,2,0,0,0,0,2,2,3,2,3
